index,prob,rank,percentile
529227,0.696523961,652,0.108666667
443983,0.696269316,653,0.108833333
244587,0.696248033,654,0.109
288703,0.69616846,655,0.109166667
426240,0.696162944,656,0.109333333
308636,0.696085132,657,0.1095
34820,0.695340348,658,0.109666667
586135,0.695028894,659,0.109833333
561285,0.694913865,660,0.11
545075,0.694783221,661,0.110166667
310976,0.694615804,662,0.110333333
216434,0.694541926,663,0.1105
430003,0.694439353,664,0.110666667
380611,0.694215395,665,0.110833333
586265,0.69401468,666,0.111
551304,0.693730619,667,0.111166667
378689,0.693097212,668,0.111333333
357652,0.692415087,669,0.1115
502102,0.692328191,670,0.111666667
56170,0.692267689,671,0.111833333
580706,0.691705945,672,0.112
586377,0.691681085,673,0.112166667
585130,0.691375974,674,0.112333333
53251,0.690926474,675,0.1125
263865,0.690878292,676,0.112666667
479228,0.690877008,677,0.112833333
146582,0.690870039,678,0.113
455852,0.690617305,679,0.113166667
188355,0.690466242,680,0.113333333
457562,0.690353188,681,0.1135
507789,0.689682343,682,0.113666667
499551,0.689622401,683,0.113833333
523451,0.689576631,684,0.114
364460,0.689165196,685,0.114166667
197876,0.688889362,686,0.114333333
118050,0.688827922,687,0.1145
287078,0.688689943,688,0.114666667
448735,0.688487337,689,0.114833333
210734,0.688157694,690,0.115
582202,0.688112348,691,0.115166667
358218,0.687629976,692,0.115333333
132946,0.687409913,693,0.1155
534479,0.686659516,694,0.115666667
310733,0.686344225,695,0.115833333
448564,0.686320195,696,0.116
121538,0.685894146,697,0.116166667
113676,0.68577986,698,0.116333333
351073,0.685418955,699,0.1165
384325,0.685037219,700,0.116666667
517596,0.684376302,701,0.116833333
255562,0.684046948,702,0.117
357367,0.683917101,703,0.117166667
80390,0.68389821,704,0.117333333
508784,0.683020345,705,0.1175
534228,0.682959869,706,0.117666667
331737,0.682435369,707,0.117833333
172322,0.682411535,708,0.118
383399,0.682176799,709,0.118166667
537359,0.682142782,710,0.118333333
96431,0.681938288,711,0.1185
197412,0.681804457,712,0.118666667
148369,0.681244521,713,0.118833333
452473,0.681224544,714,0.119
144872,0.681222817,715,0.119166667
415465,0.681206377,716,0.119333333
115965,0.681201506,717,0.1195
341363,0.681176197,718,0.119666667
437661,0.681163068,719,0.119833333
87905,0.680943579,720,0.12
567620,0.680819799,721,0.120166667
432461,0.680754491,722,0.120333333
77021,0.680533696,723,0.1205
128501,0.680065776,724,0.120666667
530814,0.679693467,725,0.120833333
188317,0.67959575,726,0.121
568407,0.679490701,727,0.121166667
251272,0.679265451,728,0.121333333
81442,0.67909625,729,0.1215
304218,0.679054375,730,0.121666667
544402,0.678953594,731,0.121833333
516105,0.678944854,732,0.122
598635,0.678777363,733,0.122166667
326087,0.678677093,734,0.122333333
538761,0.678655797,735,0.1225
462115,0.678515367,736,0.122666667
354330,0.678290239,737,0.122833333
524454,0.67820936,738,0.123
343537,0.678137481,739,0.123166667
246549,0.677793974,740,0.123333333
532353,0.677643283,741,0.1235
289715,0.677500429,742,0.123666667
46173,0.677326333,743,0.123833333
280501,0.677170871,744,0.124
137069,0.676317696,745,0.124166667
579828,0.676170752,746,0.124333333
350532,0.676117261,747,0.1245
77678,0.675644348,748,0.124666667
17126,0.675537319,749,0.124833333
414561,0.675523076,750,0.125
401519,0.675145521,751,0.125166667
170638,0.675139309,752,0.125333333
584276,0.675105322,753,0.1255
489151,0.675055488,754,0.125666667
342568,0.674860141,755,0.125833333
238846,0.674301007,756,0.126
436008,0.67397769,757,0.126166667
370970,0.673715092,758,0.126333333
179318,0.673629399,759,0.1265
539065,0.673448727,760,0.126666667
542839,0.673286244,761,0.126833333
262293,0.672914197,762,0.127
259985,0.672760571,763,0.127166667
553115,0.672545524,764,0.127333333
205125,0.67244168,765,0.1275
504244,0.67234137,766,0.127666667
351901,0.671793966,767,0.127833333
141062,0.671722655,768,0.128
591398,0.671522423,769,0.128166667
141281,0.671352548,770,0.128333333
169003,0.671265961,771,0.1285
374066,0.671110913,772,0.128666667
205057,0.67098482,773,0.128833333
544323,0.670812026,774,0.129
209837,0.670557037,775,0.129166667
101317,0.670303203,776,0.129333333
487334,0.669873803,777,0.1295
179328,0.669863469,778,0.129666667
6464,0.669737004,779,0.129833333
140690,0.669623754,780,0.13
146873,0.668863784,781,0.130166667
257700,0.668823732,782,0.130333333
567989,0.668608464,783,0.1305
353734,0.668572719,784,0.130666667
417681,0.667967397,785,0.130833333
287011,0.667659586,786,0.131
377851,0.667530427,787,0.131166667
336783,0.667457801,788,0.131333333
171471,0.667309953,789,0.1315
241960,0.667165414,790,0.131666667
189477,0.667121841,791,0.131833333
339093,0.66709528,792,0.132
466261,0.666370951,793,0.132166667
301039,0.666366366,794,0.132333333
109600,0.665964865,795,0.1325
290724,0.665862839,796,0.132666667
440927,0.665425317,797,0.132833333
162235,0.665299414,798,0.133
13460,0.665090752,799,0.133166667
232058,0.665049655,800,0.133333333
158649,0.665012061,801,0.1335
518797,0.664933032,802,0.133666667
568815,0.66470188,803,0.133833333
223059,0.664668702,804,0.134
17536,0.66431543,805,0.134166667
6999,0.664305758,806,0.134333333
396038,0.664220718,807,0.1345
522991,0.664028396,808,0.134666667
80421,0.663888354,809,0.134833333
466567,0.663847649,810,0.135
369768,0.663475142,811,0.135166667
335100,0.663413101,812,0.135333333
14493,0.663373618,813,0.1355
302957,0.662486586,814,0.135666667
193722,0.662438499,815,0.135833333
21525,0.662053285,816,0.136
127693,0.662010188,817,0.136166667
115823,0.661878786,818,0.136333333
364161,0.661722234,819,0.1365
217812,0.661265265,820,0.136666667
529751,0.661245898,821,0.136833333
129091,0.661180962,822,0.137
322380,0.661085489,823,0.137166667
259913,0.660804371,824,0.137333333
294448,0.660758704,825,0.1375
203361,0.660687606,826,0.137666667
406119,0.66041226,827,0.137833333
222376,0.660366991,828,0.138
333570,0.660157912,829,0.138166667
555198,0.660112246,830,0.138333333
108397,0.65975606,831,0.1385
42321,0.659488584,832,0.138666667
135282,0.659396767,833,0.138833333
571361,0.659302942,834,0.139
51712,0.659279692,835,0.139166667
575985,0.659116509,836,0.139333333
375861,0.658917765,837,0.1395
375692,0.658796664,838,0.139666667
172473,0.658731373,839,0.139833333
305709,0.658563497,840,0.14
207649,0.658523897,841,0.140166667
150287,0.658021507,842,0.140333333
594561,0.658006277,843,0.1405
284316,0.65793173,844,0.140666667
437597,0.65790299,845,0.140833333
